,Irradiance,,,
Wavelength [nm],Base,Middle ,Tip,0.5 cm below
200,3.16E-05,3.16E-05,3.16E-05,
201,2.65E-05,2.65E-05,2.65E-05,
202,2.28E-05,2.28E-05,2.28E-05,
203,2.00E-05,2.00E-05,2.00E-05,
204,1.78E-05,1.78E-05,1.78E-05,
205,1.60E-05,1.60E-05,1.60E-05,
206,1.45E-05,1.45E-05,1.45E-05,
207,1.32E-05,1.32E-05,1.32E-05,
208,1.22E-05,1.22E-05,1.22E-05,
209,1.13E-05,1.13E-05,1.13E-05,
210,1.05E-05,1.05E-05,1.05E-05,
211,9.37E-06,9.37E-06,9.37E-06,
212,8.44E-06,8.44E-06,8.44E-06,
213,7.68E-06,7.68E-06,7.68E-06,
214,7.05E-06,7.05E-06,7.05E-06,
215,6.51E-06,6.51E-06,6.51E-06,
216,5.64E-06,5.64E-06,5.64E-06,
217,4.97E-06,4.97E-06,4.97E-06,
218,4.44E-06,4.44E-06,4.44E-06,
219,4.02E-06,4.02E-06,4.02E-06,
220,3.67E-06,3.67E-06,3.67E-06,
221,3.29E-06,3.29E-06,3.29E-06,
222,2.98E-06,2.98E-06,2.98E-06,
223,2.73E-06,2.73E-06,2.73E-06,
224,2.51E-06,2.51E-06,2.51E-06,
225,2.33E-06,2.33E-06,2.33E-06,
226,2.24E-06,2.24E-06,2.24E-06,
227,2.15E-06,2.15E-06,2.15E-06,
228,2.08E-06,2.08E-06,2.08E-06,
229,2.00E-06,2.00E-06,2.00E-06,
230,1.94E-06,1.94E-06,1.94E-06,
231,1.84E-06,1.84E-06,1.84E-06,
232,1.76E-06,1.76E-06,1.76E-06,
233,1.68E-06,1.68E-06,1.68E-06,
234,1.61E-06,1.61E-06,1.61E-06,
235,1.55E-06,1.55E-06,1.55E-06,
236,1.40E-06,1.40E-06,1.40E-06,
237,1.28E-06,1.28E-06,1.28E-06,
238,1.18E-06,1.18E-06,1.18E-06,
239,1.10E-06,1.10E-06,1.10E-06,
240,1.02E-06,1.02E-06,1.02E-06,
241,9.15E-07,9.15E-07,9.15E-07,
242,8.28E-07,8.28E-07,8.28E-07,
243,7.56E-07,7.56E-07,7.56E-07,
244,6.96E-07,6.96E-07,6.96E-07,
245,6.45E-07,6.45E-07,6.45E-07,
246,6.07E-07,6.07E-07,6.07E-07,
247,5.73E-07,5.73E-07,5.73E-07,
248,5.43E-07,5.43E-07,5.43E-07,
249,5.16E-07,5.16E-07,5.16E-07,
250,4.92E-07,4.92E-07,4.92E-07,
251,4.92E-07,4.92E-07,4.92E-07,
252,4.93E-07,4.93E-07,4.93E-07,
253,4.94E-07,4.94E-07,4.94E-07,
254,4.95E-07,4.95E-07,4.95E-07,
255,4.96E-07,4.96E-07,4.96E-07,
256,5.01E-07,5.01E-07,5.01E-07,
257,5.07E-07,5.07E-07,5.07E-07,
258,5.12E-07,5.12E-07,5.12E-07,
259,5.17E-07,5.17E-07,5.17E-07,
260,5.23E-07,5.23E-07,5.23E-07,
261,5.16E-07,5.16E-07,5.16E-07,
262,5.08E-07,5.08E-07,5.08E-07,
263,5.02E-07,5.02E-07,5.02E-07,
264,4.95E-07,4.95E-07,4.95E-07,
265,4.88E-07,4.88E-07,4.88E-07,
266,4.65E-07,4.65E-07,4.65E-07,
267,4.44E-07,4.44E-07,4.44E-07,
268,4.25E-07,4.25E-07,4.25E-07,
269,4.08E-07,4.08E-07,4.08E-07,
270,3.92E-07,3.92E-07,3.92E-07,
271,3.72E-07,3.72E-07,3.72E-07,
272,3.54E-07,3.54E-07,3.54E-07,
273,3.38E-07,3.38E-07,3.38E-07,
274,3.23E-07,3.23E-07,3.23E-07,
275,3.10E-07,3.10E-07,3.10E-07,
276,2.93E-07,2.93E-07,2.93E-07,
277,2.77E-07,2.77E-07,2.77E-07,
278,2.63E-07,2.63E-07,2.63E-07,
279,2.51E-07,2.51E-07,2.51E-07,
280,2.39E-07,2.39E-07,2.39E-07,
281,2.32E-07,2.32E-07,2.32E-07,
282,2.26E-07,2.26E-07,2.26E-07,
283,2.20E-07,2.20E-07,2.20E-07,
284,2.14E-07,2.14E-07,2.14E-07,
285,2.08E-07,2.08E-07,2.08E-07,
286,2.08E-07,2.08E-07,2.08E-07,
287,2.08E-07,2.08E-07,2.08E-07,
288,2.08E-07,2.08E-07,2.07E-07,
289,2.08E-07,2.07E-07,2.07E-07,
290,2.06E-07,2.07E-07,2.07E-07,
291,2.04E-07,2.04E-07,2.05E-07,
292,2.06E-07,2.04E-07,2.02E-07,
293,2.02E-07,2.01E-07,2.00E-07,
294,1.84E-07,1.90E-07,1.98E-07,
295,1.92E-07,1.94E-07,1.96E-07,
296,2.45E-07,2.21E-07,1.91E-07,
297,1.86E-07,1.86E-07,1.86E-07,
298,2.10E-07,7.05E-08,1.82E-07,
299,2.33E-07,2.08E-07,1.77E-07,
300,9.12E-07,5.83E-07,1.72E-07,
301,4.42E-07,2.83E-07,1.69E-07,
302,1.49E-06,8.85E-07,1.70E-07,
303,2.48E-06,1.45E-06,1.53E-07,
304,1.53E-05,9.49E-06,1.31E-07,
305,2.19E-05,1.74E-05,1.78E-07,
306,1.88E-05,2.12E-05,2.29E-07,
307,1.86E-05,1.86E-05,1.61E-08,
308,2.57E-05,1.50E-05,3.67E-07,
309,3.29E-05,2.29E-05,7.06E-07,
310,4.33E-05,4.33E-05,1.06E-06,
311,6.77E-05,6.58E-05,5.18E-07,
312,9.15E-05,8.93E-05,5.86E-06,
313,8.46E-05,1.18E-04,1.10E-05,
314,5.79E-05,1.36E-04,2.71E-05,
315,4.29E-05,1.19E-04,2.36E-05,
316,3.54E-05,8.05E-05,8.20E-06,
317,1.81E-05,4.60E-05,4.60E-07,
318,1.02E-06,2.22E-05,5.20E-08,
319,2.69E-06,7.32E-06,2.89E-07,
320,4.29E-06,1.66E-07,1.11E-07,
321,3.31E-06,1.64E-07,6.83E-08,
322,1.63E-06,1.62E-07,1.07E-07,
323,9.04E-07,3.36E-07,9.29E-08,
324,1.95E-07,8.49E-08,1.13E-07,
325,3.48E-07,1.37E-07,1.81E-07,
326,1.74E-07,3.30E-08,3.43E-08,
327,3.28E-07,2.74E-07,2.44E-07,
328,4.82E-07,5.15E-07,4.52E-07,
329,1.28E-06,1.41E-06,1.21E-06,
330,6.36E-07,7.03E-07,6.02E-07,
331,4.84E-06,1.38E-05,4.46E-06,
332,8.91E-06,2.65E-05,8.20E-06,
333,3.95E-05,8.10E-05,3.01E-05,
334,7.74E-05,1.39E-04,4.05E-05,
335,1.05E-04,1.78E-04,3.76E-05,
336,1.03E-04,1.84E-04,3.52E-05,
337,7.94E-05,1.57E-04,3.19E-05,
338,5.83E-05,1.17E-04,1.85E-05,
339,4.24E-05,7.23E-05,2.20E-06,
340,2.36E-05,3.04E-05,1.10E-06,
341,6.83E-06,1.97E-06,9.92E-07,
342,9.03E-08,9.96E-07,8.86E-07,
343,6.94E-08,1.17E-06,1.15E-07,
344,3.00E-07,1.35E-06,1.10E-07,
345,8.81E-08,4.00E-08,1.05E-07,
346,1.05E-07,9.18E-08,1.75E-07,
347,7.01E-08,1.43E-07,7.60E-08,
348,1.78E-07,2.90E-07,1.27E-07,
349,2.86E-07,1.45E-07,1.77E-07,
350,1.04E-06,4.00E-07,4.92E-07,
351,5.21E-07,6.56E-07,2.46E-07,
352,2.98E-06,8.38E-06,1.28E-06,
353,5.45E-06,3.43E-05,2.32E-06,
354,2.53E-05,7.37E-05,1.06E-05,
355,3.80E-05,9.96E-05,1.58E-05,
356,3.62E-05,1.01E-04,1.46E-05,
357,2.59E-05,8.64E-05,8.65E-06,
358,1.34E-05,6.27E-05,1.82E-06,
359,4.55E-06,3.21E-05,9.07E-07,
360,5.98E-07,5.04E-06,6.52E-07,
361,2.98E-07,2.49E-06,3.94E-07,
362,6.13E-09,1.85E-06,1.51E-07,
363,2.00E-07,1.23E-06,1.17E-08,
364,1.01E-07,2.28E-07,7.96E-08,
365,6.51E-08,1.45E-07,1.08E-07,
366,8.55E-08,6.28E-08,8.66E-08,
367,6.86E-08,4.24E-07,7.91E-08,
368,8.47E-08,4.98E-08,8.24E-08,
369,1.63E-07,2.69E-07,8.19E-08,
370,4.62E-08,4.79E-07,7.90E-08,
371,1.71E-07,5.59E-06,7.71E-08,
372,2.91E-07,9.59E-06,7.61E-08,
373,1.71E-06,9.78E-06,7.50E-08,
374,2.09E-06,9.74E-06,7.25E-08,
375,1.00E-06,1.21E-05,6.99E-08,
376,9.80E-07,1.67E-05,7.21E-08,
377,3.55E-06,2.39E-05,7.40E-08,
378,8.46E-06,3.50E-05,5.62E-08,
379,1.25E-05,4.50E-05,4.52E-08,
380,9.64E-06,4.35E-05,1.07E-07,
381,2.24E-06,3.05E-05,1.27E-07,
382,1.10E-06,1.48E-05,6.23E-08,
383,5.89E-07,3.22E-06,4.44E-07,
384,9.49E-08,3.31E-06,8.13E-07,
385,1.33E-06,3.39E-06,6.38E-07,
386,2.55E-06,1.13E-05,3.16E-07,
387,1.61E-05,3.85E-05,7.94E-06,
388,4.68E-05,9.98E-05,1.54E-05,
389,7.92E-05,1.65E-04,3.63E-05,
390,9.37E-05,1.94E-04,4.53E-05,
391,9.04E-05,1.91E-04,4.29E-05,
392,7.34E-05,1.66E-04,3.37E-05,
393,4.86E-05,1.20E-04,2.23E-05,
394,2.27E-05,6.06E-05,1.26E-05,
395,5.01E-06,1.52E-05,5.61E-06,
396,2.61E-06,1.22E-06,1.50E-06,
397,1.85E-07,5.18E-06,7.57E-07,
398,1.98E-07,1.20E-05,4.48E-07,
399,1.49E-08,1.16E-05,1.35E-07,
400,2.38E-08,3.29E-06,1.19E-07,
401,7.07E-08,1.03E-07,3.39E-08,
402,6.58E-08,4.49E-06,4.38E-08,
403,5.46E-08,4.94E-06,6.53E-08,
404,5.70E-08,6.80E-07,6.18E-08,
405,6.01E-08,1.80E-06,5.70E-08,
406,5.97E-08,6.97E-06,5.87E-08,
407,5.94E-08,6.32E-06,6.02E-08,
408,5.99E-08,1.07E-06,6.01E-08,
409,6.04E-08,5.36E-07,6.02E-08,
410,6.07E-08,4.50E-07,6.07E-08,
411,6.12E-08,3.62E-07,6.11E-08,
412,6.14E-08,8.28E-08,6.13E-08,
413,6.09E-08,7.25E-08,6.14E-08,
414,6.19E-08,6.21E-08,6.19E-08,
415,6.53E-08,7.78E-08,6.33E-08,
416,6.17E-08,6.25E-08,6.23E-08,
417,5.09E-08,7.66E-08,5.90E-08,
418,7.02E-08,5.28E-08,6.55E-08,
419,1.09E-07,9.05E-08,7.84E-08,
420,2.26E-08,1.29E-07,5.04E-08,
421,1.49E-07,3.34E-07,8.39E-09,
422,2.77E-07,1.67E-07,1.33E-07,
423,6.91E-07,1.01E-06,2.68E-07,
424,3.47E-07,1.85E-06,1.34E-07,
425,2.70E-06,1.08E-05,9.03E-07,
426,5.06E-06,2.71E-05,1.67E-06,
427,1.73E-05,4.56E-05,5.30E-06,
428,1.96E-05,5.51E-05,4.89E-06,
429,1.16E-05,5.01E-05,1.11E-06,
430,3.97E-06,3.10E-05,5.57E-07,
431,4.75E-07,8.69E-06,4.17E-07,
432,2.37E-07,4.34E-06,2.77E-07,
433,2.05E-07,2.49E-06,1.00E-07,
434,1.74E-07,6.30E-07,8.89E-09,
435,7.44E-08,1.14E-07,6.02E-08,
436,3.65E-08,8.80E-08,7.92E-08,
437,6.41E-08,6.26E-08,6.46E-08,
438,7.13E-08,1.01E-07,6.04E-08,
439,6.34E-08,6.17E-08,6.40E-08,
440,6.18E-08,5.43E-08,6.45E-08,
441,6.34E-08,6.43E-08,6.30E-08,
442,6.32E-08,6.50E-08,6.25E-08,
443,6.22E-08,6.19E-08,6.24E-08,
444,6.18E-08,6.14E-08,6.20E-08,
445,6.16E-08,6.17E-08,6.15E-08,
446,6.10E-08,6.13E-08,6.10E-08,
447,6.05E-08,6.03E-08,6.05E-08,
448,6.01E-08,5.97E-08,6.01E-08,
449,5.95E-08,6.03E-08,5.96E-08,
450,5.90E-08,6.03E-08,5.91E-08,
451,5.89E-08,5.57E-08,5.86E-08,
452,5.85E-08,5.43E-08,5.81E-08,
453,5.64E-08,6.97E-08,5.76E-08,
454,5.59E-08,6.87E-08,5.71E-08,
455,6.15E-08,6.83E-09,5.66E-08,
456,5.92E-08,2.36E-08,5.60E-08,
457,3.57E-08,2.55E-07,5.55E-08,
458,4.76E-08,1.29E-07,5.49E-08,
459,1.32E-07,6.39E-08,5.43E-08,
460,6.15E-08,2.01E-06,5.38E-08,
461,8.38E-08,3.91E-06,5.33E-08,
462,1.06E-07,6.33E-06,5.28E-08,
463,1.62E-06,3.39E-06,5.24E-08,
464,2.63E-06,1.68E-06,5.19E-08,
465,1.96E-06,9.01E-07,5.15E-08,
466,8.12E-07,1.38E-07,5.11E-08,
467,2.09E-07,5.37E-08,5.07E-08,
468,2.27E-08,1.83E-07,5.03E-08,
469,2.39E-08,5.85E-07,4.99E-08,
470,5.81E-08,2.90E-07,4.96E-08,
471,5.52E-08,2.19E-06,4.93E-08,
472,4.65E-08,4.07E-06,4.90E-08,
473,4.73E-08,1.39E-05,4.87E-08,
474,4.91E-08,1.32E-05,4.84E-08,
475,4.84E-08,3.13E-06,4.81E-08,
476,4.76E-08,1.56E-06,4.78E-08,
477,4.75E-08,1.07E-06,4.75E-08,
478,4.73E-08,6.00E-07,4.73E-08,
479,4.71E-08,1.57E-07,4.70E-08,
480,4.68E-08,9.29E-08,4.68E-08,
481,4.67E-08,2.98E-08,4.67E-08,
482,4.67E-08,8.48E-08,4.67E-08,
483,4.67E-08,4.82E-08,4.67E-08,
484,4.66E-08,3.68E-08,4.66E-08,
485,4.66E-08,4.69E-08,4.66E-08,
486,4.67E-08,4.92E-08,4.67E-08,
487,4.68E-08,4.66E-08,4.68E-08,
488,4.70E-08,4.64E-08,4.70E-08,
489,4.71E-08,4.72E-08,4.71E-08,
490,4.72E-08,4.74E-08,4.72E-08,
491,4.76E-08,4.75E-08,4.76E-08,
492,4.79E-08,4.79E-08,4.79E-08,
493,4.82E-08,4.82E-08,4.82E-08,
494,4.86E-08,4.85E-08,4.84E-08,
495,4.89E-08,4.91E-08,4.92E-08,
496,4.92E-08,4.96E-08,4.98E-08,
497,4.95E-08,4.86E-08,4.81E-08,
498,4.99E-08,4.85E-08,4.78E-08,
499,5.02E-08,5.43E-08,5.64E-08,
500,5.05E-08,5.50E-08,5.73E-08,
