peak_rank,dataset,param_set,channel,n_curves,peak_wavelength_nm_grid,peak_wavelength_nm_refined,peak_wavelength_nm_0p1,peak_intensity,peak_intensity_refined,candidate_rank,delta_nm,nist_wavelength_nm,nist_obs_wl_nm,nist_ritz_wl_nm,nist_aki_s-1,nist_acc,nist_transition_type,nist_spectra_query,nist_element,nist_ion_stage,nist_species,nist_transition,nist_rel_intensity,nist_source
1,air,100H,bulk,3,335.0,335.34109214453343,335.3,0.00012906466666666666,0.0001307551932382723,1,0.15550980000000436,335.4555098,,335.4555098,1453700.0,AAA,,He I,He,I,He I,,1453700.0,live_nist
1,air,100H,bulk,3,335.0,335.34109214453343,335.3,0.00012906466666666666,0.0001307551932382723,2,0.16900000000003956,335.131,,335.131,,,,O II,O,II,O II,,,live_nist
1,air,100H,bulk,3,335.0,335.34109214453343,335.3,0.00012906466666666666,0.0001307551932382723,3,0.2076200000000199,335.09238,335.09238,335.092386,150000000.0,D,,Ar II,Ar,II,Ar II,,150000000.0,live_nist
2,air,100H,bulk,3,390.0,390.0978727679337,390.1,8.37513e-05,8.384903166802662e-05,1,0.037490000000047985,390.06251,390.06251,390.062636,7200000.0,B,,Ar II,Ar,II,Ar II,,7200000.0,live_nist
2,air,100H,bulk,3,390.0,390.0978727679337,390.1,8.37513e-05,8.384903166802662e-05,2,0.08155000000004975,390.01845,,390.01845,414000.0,C,,N I,N,I,N I,,414000.0,live_nist
2,air,100H,bulk,3,390.0,390.0978727679337,390.1,8.37513e-05,8.384903166802662e-05,3,0.469600000000014,389.6304,389.6304,389.63032,162000.0,C,,O II,O,II,O II,,162000.0,live_nist
3,air,100H,bulk,3,356.0,355.6856112716226,355.7,6.477403333333334e-05,6.55272275094375e-05,1,0.009619999999983975,355.69038,355.69038,355.690383,5000000.0,B,,Ar II,Ar,II,Ar II,,5000000.0,live_nist
3,air,100H,bulk,3,356.0,355.6856112716226,355.7,6.477403333333334e-05,6.55272275094375e-05,2,0.24593459999999823,355.4540654,,355.4540654,727720.0,AAA,,He I,He,I,He I,,727720.0,live_nist
3,air,100H,bulk,3,356.0,355.6856112716226,355.7,6.477403333333334e-05,6.55272275094375e-05,3,0.25078999999999496,355.95079,355.95079,355.95078,288000000.0,B,,Ar II,Ar,II,Ar II,,288000000.0,live_nist
4,air,100H,bulk,3,314.0,313.59894466880877,313.6,5.0343299999999996e-05,5.1434571556171324e-05,1,0.0483899999999835,313.64839,313.64839,313.648425,,,,Ar II,Ar,II,Ar II,,,live_nist
4,air,100H,bulk,3,314.0,313.59894466880877,313.6,5.0343299999999996e-05,5.1434571556171324e-05,2,0.12800000000004275,313.472,313.472,313.4726,123000000.0,C,,O II,O,II,O II,,123000000.0,live_nist
4,air,100H,bulk,3,314.0,313.59894466880877,313.6,5.0343299999999996e-05,5.1434571556171324e-05,3,0.16289999999997917,313.7629,313.7629,313.763261,,,,Ar II,Ar,II,Ar II,,,live_nist
5,air,100H,bulk,3,308.0,307.8142883613788,307.8,2.1479548666666664e-05,2.1598236092779213e-05,1,0.33909999999997353,308.1391,308.1391,308.1389,,,,O II,O,II,O II,,,live_nist
5,air,100H,bulk,3,308.0,307.8142883613788,307.8,2.1479548666666664e-05,2.1598236092779213e-05,2,0.4977700000000027,308.29777,308.29777,308.29776,,,,Ar II,Ar,II,Ar II,,,live_nist
6,air,100H,bulk,3,379.0,378.62360163666233,378.6,1.4473693333333334e-05,1.4705118793111523e-05,1,0.03818999999998596,378.63819,378.63819,378.638198,1500000.0,B,,Ar II,Ar,II,Ar II,,1500000.0,live_nist
6,air,100H,bulk,3,379.0,378.62360163666233,378.6,1.4473693333333334e-05,1.4705118793111523e-05,2,0.06999999999999318,378.67,,378.67,970000.0,D,,O II,O,II,O II,,970000.0,live_nist
6,air,100H,bulk,3,379.0,378.62360163666233,378.6,1.4473693333333334e-05,1.4705118793111523e-05,3,0.10200000000003229,378.498,,378.498,5830000.0,D,,O II,O,II,O II,,5830000.0,live_nist
7,air,100H,bulk,3,429.0,428.9915394704995,429.0,8.674921333333333e-06,8.675021984022535e-06,1,0.117999999999995,428.882,428.882,428.882,,,,O II,O,II,O II,,,live_nist
7,air,100H,bulk,3,429.0,428.9915394704995,429.0,8.674921333333333e-06,8.675021984022535e-06,2,0.117999999999995,428.882,428.882,428.8829,,,,O II,O,II,O II,,,live_nist
7,air,100H,bulk,3,429.0,428.9915394704995,429.0,8.674921333333333e-06,8.675021984022535e-06,3,0.12540000000001328,429.1254,429.1254,429.12535,,,,O II,O,II,O II,,,live_nist
8,air,100H,bulk,3,329.0,329.06379445930236,329.1,2.0408666666666664e-06,2.0456390397915927e-06,1,0.04404999999997017,329.14405,329.14405,329.144028,,,,Ar II,Ar,II,Ar II,,,live_nist
8,air,100H,bulk,3,329.0,329.06379445930236,329.1,2.0408666666666664e-06,2.0456390397915927e-06,2,0.10190000000000055,328.9981,328.9981,328.9982,,,,O II,O,II,O II,,,live_nist
8,air,100H,bulk,3,329.0,329.06379445930236,329.1,2.0408666666666664e-06,2.0456390397915927e-06,3,0.2640199999999595,329.36402,329.36402,329.364009,170000000.0,D,,Ar II,Ar,II,Ar II,,170000000.0,live_nist
9,air,100H,bulk,3,408.0,408.2114524015754,408.2,1.2009929666666667e-06,1.2220344171749967e-06,1,0.03867999999999938,408.23868,408.23868,408.23868,2900000.0,B+,,Ar II,Ar,II,Ar II,,2900000.0,live_nist
9,air,100H,bulk,3,408.0,408.2114524015754,408.2,1.2009929666666667e-06,1.2220344171749967e-06,2,0.04149999999998499,408.2415,408.2415,408.2415,,,,C I,C,I,C I,,,live_nist
9,air,100H,bulk,3,408.0,408.2114524015754,408.2,1.2009929666666667e-06,1.2220344171749967e-06,3,0.09809999999998809,408.2981,408.2981,408.298,,,,C I,C,I,C I,,,live_nist
10,air,100H,bulk,3,350.0,350.3378526478017,350.3,6.578343333333334e-07,6.889411586305065e-07,1,0.1331000000000131,350.1669,350.1669,350.1668,,,,O II,O,II,O II,,,live_nist
10,air,100H,bulk,3,350.0,350.3378526478017,350.3,6.578343333333334e-07,6.889411586305065e-07,2,0.2839000000000169,350.5839,350.5839,350.5885,,,,O II,O,II,O II,,,live_nist
10,air,100H,bulk,3,350.0,350.3378526478017,350.3,6.578343333333334e-07,6.889411586305065e-07,3,0.304300000000012,349.9957,349.9957,349.996731,,,,Ar II,Ar,II,Ar II,,,live_nist
1,air,5H..01A,bulk,3,335.0,335.3929740791269,335.4,0.00016049966666666668,0.00016238626972487496,1,0.05550980000003847,335.4555098,,335.4555098,1453700.0,AAA,,He I,He,I,He I,,1453700.0,live_nist
1,air,5H..01A,bulk,3,335.0,335.3929740791269,335.4,0.00016049966666666668,0.00016238626972487496,2,0.26900000000000546,335.131,,335.131,,,,O II,O,II,O II,,,live_nist
1,air,5H..01A,bulk,3,335.0,335.3929740791269,335.4,0.00016049966666666668,0.00016238626972487496,3,0.3076199999999858,335.09238,335.09238,335.092386,150000000.0,D,,Ar II,Ar,II,Ar II,,150000000.0,live_nist
2,air,5H..01A,bulk,3,390.0,390.1567974322891,390.2,0.00011623133333333333,0.00011652687689351925,1,0.13749000000001388,390.06251,390.06251,390.062636,7200000.0,B,,Ar II,Ar,II,Ar II,,7200000.0,live_nist
2,air,5H..01A,bulk,3,390.0,390.1567974322891,390.2,0.00011623133333333333,0.00011652687689351925,2,0.18155000000001564,390.01845,,390.01845,414000.0,C,,N I,N,I,N I,,414000.0,live_nist
2,air,5H..01A,bulk,3,390.0,390.1567974322891,390.2,0.00011623133333333333,0.00011652687689351925,3,0.49500000000000455,390.695,390.695,390.693849,,,,Ar II,Ar,II,Ar II,,,live_nist
3,air,5H..01A,bulk,3,356.0,355.95567054453244,356.0,9.947773333333334e-05,9.948951240847533e-05,1,0.04921000000001641,355.95079,355.95079,355.95078,288000000.0,B,,Ar II,Ar,II,Ar II,,288000000.0,live_nist
3,air,5H..01A,bulk,3,356.0,355.95567054453244,356.0,9.947773333333334e-05,9.948951240847533e-05,2,0.10302999999998974,356.10303,356.10303,356.103016,400000000.0,D,,Ar II,Ar,II,Ar II,,400000000.0,live_nist
3,air,5H..01A,bulk,3,356.0,355.95567054453244,356.0,9.947773333333334e-05,9.948951240847533e-05,3,0.21280000000001564,356.2128,,356.2128,3770.0,E,,O II,O,II,O II,,3770.0,live_nist
4,air,5H..01A,bulk,3,314.0,313.8323798558945,313.8,9.402863333333334e-05,9.43828971110658e-05,1,0.03350000000000364,313.8335,313.8335,313.8337,96400000.0,C,,O II,O,II,O II,,96400000.0,live_nist
4,air,5H..01A,bulk,3,314.0,313.8323798558945,313.8,9.402863333333334e-05,9.43828971110658e-05,2,0.03710000000000946,313.7629,313.7629,313.763261,,,,Ar II,Ar,II,Ar II,,,live_nist
4,air,5H..01A,bulk,3,314.0,313.8323798558945,313.8,9.402863333333334e-05,9.43828971110658e-05,3,0.1017400000000066,313.90174,313.90174,313.901722,52000000.0,C,,Ar II,Ar,II,Ar II,,52000000.0,live_nist
5,air,5H..01A,bulk,3,309.0,309.4459127942259,309.4,4.4192533333333334e-05,4.4962524398582725e-05,1,0.05982000000000198,309.34018,309.34018,309.340173,440000000.0,D,,Ar II,Ar,II,Ar II,,440000000.0,live_nist
5,air,5H..01A,bulk,3,309.0,309.4459127942259,309.4,4.4192533333333334e-05,4.4962524398582725e-05,2,0.09654000000000451,309.49654,309.49654,309.496469,,,,Ar II,Ar,II,Ar II,,,live_nist
5,air,5H..01A,bulk,3,309.0,309.4459127942259,309.4,4.4192533333333334e-05,4.4962524398582725e-05,3,0.24639999999999418,309.1536,309.1536,309.1533,,,,O II,O,II,O II,,,live_nist
6,air,5H..01A,bulk,3,379.0,378.8916520567129,378.9,4.1267200000000004e-05,4.130436244164794e-05,1,0.22999999999996135,378.67,,378.67,970000.0,D,,O II,O,II,O II,,970000.0,live_nist
6,air,5H..01A,bulk,3,379.0,378.8916520567129,378.9,4.1267200000000004e-05,4.130436244164794e-05,2,0.26180999999996857,378.63819,378.63819,378.638198,1500000.0,B,,Ar II,Ar,II,Ar II,,1500000.0,live_nist
6,air,5H..01A,bulk,3,379.0,378.8916520567129,378.9,4.1267200000000004e-05,4.130436244164794e-05,3,0.4019999999999868,378.498,,378.498,5830000.0,D,,O II,O,II,O II,,5830000.0,live_nist
7,air,5H..01A,bulk,3,228.0,227.9345402495875,227.9,3.594263666666666e-05,3.6004278095287795e-05,1,0.22700000000000387,227.673,227.673,227.67213,,,,Ar II,Ar,II,Ar II,,,live_nist
7,air,5H..01A,bulk,3,228.0,227.9345402495875,227.9,3.594263666666666e-05,3.6004278095287795e-05,2,0.251199999999983,228.1512,228.1512,228.150772,,,,Ar II,Ar,II,Ar II,,,live_nist
7,air,5H..01A,bulk,3,228.0,227.9345402495875,227.9,3.594263666666666e-05,3.6004278095287795e-05,3,0.3620499999999822,228.26205,228.26205,228.262053,,,,Ar II,Ar,II,Ar II,,,live_nist
8,air,5H..01A,bulk,3,254.0,254.40918619783847,254.4,2.9590228666666666e-05,2.976444934037089e-05,1,0.06838999999999373,254.46839,254.46839,254.468375,,,,Ar II,Ar,II,Ar II,,,live_nist
8,air,5H..01A,bulk,3,254.0,254.40918619783847,254.4,2.9590228666666666e-05,2.976444934037089e-05,2,0.16468000000000416,254.56468,254.56468,254.564769,,,,Ar II,Ar,II,Ar II,,,live_nist
8,air,5H..01A,bulk,3,254.0,254.40918619783847,254.4,2.9590228666666666e-05,2.976444934037089e-05,3,0.24100000000001387,254.159,254.159,254.15942,,,,Ar II,Ar,II,Ar II,,,live_nist
9,air,5H..01A,bulk,3,241.0,241.24638042187266,241.2,2.5998258000000003e-05,2.6631383207305307e-05,1,0.012400000000013733,241.2124,241.2124,241.212675,,,,Ar II,Ar,II,Ar II,,,live_nist
9,air,5H..01A,bulk,3,241.0,241.24638042187266,241.2,2.5998258000000003e-05,2.6631383207305307e-05,2,0.03779999999997585,241.1622,241.1622,241.1597,20500000.0,C+,,O II,O,II,O II,,20500000.0,live_nist
9,air,5H..01A,bulk,3,241.0,241.24638042187266,241.2,2.5998258000000003e-05,2.6631383207305307e-05,3,0.03779999999997585,241.1622,241.1622,241.1644,11000000.0,D,,O II,O,II,O II,,11000000.0,live_nist
10,air,5H..01A,bulk,3,428.0,428.287764195821,428.3,2.53011e-05,2.5644899078852292e-05,1,0.0036000000000058208,428.2964,428.2964,428.2961,,,,O II,O,II,O II,,,live_nist
10,air,5H..01A,bulk,3,428.0,428.287764195821,428.3,2.53011e-05,2.5644899078852292e-05,2,0.01028999999999769,428.28971,428.28971,428.28972,13200000.0,B,,Ar II,Ar,II,Ar II,,13200000.0,live_nist
10,air,5H..01A,bulk,3,428.0,428.287764195821,428.3,2.53011e-05,2.5644899078852292e-05,3,0.024900000000002365,428.3249,428.3249,428.32512,,,,O II,O,II,O II,,,live_nist
1,air,5H..5A,bulk,4,201.0,200.97041368358757,201.0,0.00061051745,0.0006107337890288117,1,0.11410000000000764,201.1141,201.1141,201.113972,,,,Ar II,Ar,II,Ar II,,,live_nist
1,air,5H..5A,bulk,4,201.0,200.97041368358757,201.0,0.00061051745,0.0006107337890288117,2,0.2821999999999889,200.7178,200.7178,200.716909,,,,Ar II,Ar,II,Ar II,,,live_nist
1,air,5H..5A,bulk,4,201.0,200.97041368358757,201.0,0.00061051745,0.0006107337890288117,3,0.4310999999999865,201.4311,201.4311,201.43087,,,,Ar II,Ar,II,Ar II,,,live_nist
2,air,5H..5A,bulk,4,335.0,335.4510262513941,335.5,0.00017349375,0.0001765488326920996,1,0.04449019999998427,335.4555098,,335.4555098,1453700.0,AAA,,He I,He,I,He I,,1453700.0,live_nist
2,air,5H..5A,bulk,4,335.0,335.4510262513941,335.5,0.00017349375,0.0001765488326920996,2,0.3690000000000282,335.131,,335.131,,,,O II,O,II,O II,,,live_nist
2,air,5H..5A,bulk,4,335.0,335.4510262513941,335.5,0.00017349375,0.0001765488326920996,3,0.40762000000000853,335.09238,335.09238,335.092386,150000000.0,D,,Ar II,Ar,II,Ar II,,150000000.0,live_nist
3,air,5H..5A,bulk,4,215.0,214.62431647707942,214.6,0.00016205065,0.0001672504586384904,1,0.08254999999999768,214.68255,214.68255,214.682568,,,,Ar II,Ar,II,Ar II,,,live_nist
3,air,5H..5A,bulk,4,215.0,214.62431647707942,214.6,0.00016205065,0.0001672504586384904,2,0.16810000000000969,214.7681,214.7681,214.768231,,,,Ar II,Ar,II,Ar II,,,live_nist
3,air,5H..5A,bulk,4,215.0,214.62431647707942,214.6,0.00016205065,0.0001672504586384904,3,0.21160000000000423,214.3884,214.3884,214.3886,,,,Ar II,Ar,II,Ar II,,,live_nist
4,air,5H..5A,bulk,4,231.0,231.2013408768019,231.2,0.00012923094249999998,0.00013008135061735594,1,0.10770000000002256,231.3077,231.3077,231.3051,,,,O II,O,II,O II,,,live_nist
4,air,5H..5A,bulk,4,231.0,231.2013408768019,231.2,0.00012923094249999998,0.00013008135061735594,2,0.10770000000002256,231.3077,231.3077,231.3091,,,,O II,O,II,O II,,,live_nist
4,air,5H..5A,bulk,4,231.0,231.2013408768019,231.2,0.00012923094249999998,0.00013008135061735594,3,0.17191000000002532,231.37191,231.37191,231.371923,,,,Ar II,Ar,II,Ar II,,,live_nist
5,air,5H..5A,bulk,4,390.0,390.1363460192711,390.1,0.0001236,0.00012381584427013242,1,0.037490000000047985,390.06251,390.06251,390.062636,7200000.0,B,,Ar II,Ar,II,Ar II,,7200000.0,live_nist
5,air,5H..5A,bulk,4,390.0,390.1363460192711,390.1,0.0001236,0.00012381584427013242,2,0.08155000000004975,390.01845,,390.01845,414000.0,C,,N I,N,I,N I,,414000.0,live_nist
5,air,5H..5A,bulk,4,390.0,390.1363460192711,390.1,0.0001236,0.00012381584427013242,3,0.469600000000014,389.6304,389.6304,389.63032,162000.0,C,,O II,O,II,O II,,162000.0,live_nist
6,air,5H..5A,bulk,4,209.0,208.7944500649742,208.8,0.0001198653,0.00012169898039481238,1,0.028199999999998226,208.7718,208.7718,208.771598,,,,Ar II,Ar,II,Ar II,,,live_nist
6,air,5H..5A,bulk,4,209.0,208.7944500649742,208.8,0.0001198653,0.00012169898039481238,2,0.06569999999999254,208.8657,,208.8657,505000.0,C,,N II,N,II,N II,,505000.0,live_nist
6,air,5H..5A,bulk,4,209.0,208.7944500649742,208.8,0.0001198653,0.00012169898039481238,3,0.11840000000000828,208.6816,208.6816,208.681189,,,,Ar II,Ar,II,Ar II,,,live_nist
7,air,5H..5A,bulk,4,355.0,355.4797139938894,355.5,0.00011347075000000001,0.00011671798499424917,1,0.045934600000009596,355.4540654,,355.4540654,727720.0,AAA,,He I,He,I,He I,,727720.0,live_nist
7,air,5H..5A,bulk,4,355.0,355.4797139938894,355.5,0.00011347075000000001,0.00011671798499424917,2,0.0584999999999809,355.4415,355.4415,355.4415948,982350.0,AAA,,He I,He,I,He I,,982350.0,live_nist
7,air,5H..5A,bulk,4,355.0,355.4797139938894,355.5,0.00011347075000000001,0.00011671798499424917,3,0.0584999999999809,355.4415,355.4415,355.4415799,545790.0,AAA,,He I,He,I,He I,,545790.0,live_nist
8,air,5H..5A,bulk,4,314.0,313.799962393352,313.8,0.00011252197500000001,0.00011326148402613663,1,0.03350000000000364,313.8335,313.8335,313.8337,96400000.0,C,,O II,O,II,O II,,96400000.0,live_nist
8,air,5H..5A,bulk,4,314.0,313.799962393352,313.8,0.00011252197500000001,0.00011326148402613663,2,0.03710000000000946,313.7629,313.7629,313.763261,,,,Ar II,Ar,II,Ar II,,,live_nist
8,air,5H..5A,bulk,4,314.0,313.799962393352,313.8,0.00011252197500000001,0.00011326148402613663,3,0.1017400000000066,313.90174,313.90174,313.901722,52000000.0,C,,Ar II,Ar,II,Ar II,,52000000.0,live_nist
9,air,5H..5A,bulk,4,222.0,222.0899580032664,222.1,0.00011128263750000001,0.00011165008704433463,1,0.03517999999999688,222.13518,222.13518,222.135203,,,,Ar II,Ar,II,Ar II,,,live_nist
9,air,5H..5A,bulk,4,222.0,222.0899580032664,222.1,0.00011128263750000001,0.00011165008704433463,2,0.06493000000000393,222.03507,222.03507,222.035079,,,,Ar II,Ar,II,Ar II,,,live_nist
9,air,5H..5A,bulk,4,222.0,222.0899580032664,222.1,0.00011128263750000001,0.00011165008704433463,3,0.10375999999999408,221.99624,221.99624,221.996243,,,,Ar II,Ar,II,Ar II,,,live_nist
10,air,5H..5A,bulk,4,309.0,309.0187028033332,309.0,5.6952624999999996e-05,5.695508640581117e-05,1,0.037599999999997635,309.0376,309.0376,309.0386,,,,O II,O,II,O II,,,live_nist
10,air,5H..5A,bulk,4,309.0,309.0187028033332,309.0,5.6952624999999996e-05,5.695508640581117e-05,2,0.10899999999998045,308.891,308.891,308.891368,,,,Ar II,Ar,II,Ar II,,,live_nist
10,air,5H..5A,bulk,4,309.0,309.0187028033332,309.0,5.6952624999999996e-05,5.695508640581117e-05,3,0.15359999999998308,309.1536,309.1536,309.1533,,,,O II,O,II,O II,,,live_nist
1,air,5H..9A,bulk,4,201.0,201.34981714500935,201.3,0.00030841464999999997,0.0003192908913779864,1,0.13109999999997513,201.4311,201.4311,201.43087,,,,Ar II,Ar,II,Ar II,,,live_nist
1,air,5H..9A,bulk,4,201.0,201.34981714500935,201.3,0.00030841464999999997,0.0003192908913779864,2,0.18590000000000373,201.1141,201.1141,201.113972,,,,Ar II,Ar,II,Ar II,,,live_nist
1,air,5H..9A,bulk,4,201.0,201.34981714500935,201.3,0.00030841464999999997,0.0003192908913779864,3,0.23170999999999253,201.53171,201.53171,201.531681,,,,Ar II,Ar,II,Ar II,,,live_nist
2,air,5H..9A,bulk,4,335.0,335.4155236076207,335.4,0.0002852455,0.00028985726666985484,1,0.05550980000003847,335.4555098,,335.4555098,1453700.0,AAA,,He I,He,I,He I,,1453700.0,live_nist
2,air,5H..9A,bulk,4,335.0,335.4155236076207,335.4,0.0002852455,0.00028985726666985484,2,0.26900000000000546,335.131,,335.131,,,,O II,O,II,O II,,,live_nist
2,air,5H..9A,bulk,4,335.0,335.4155236076207,335.4,0.0002852455,0.00028985726666985484,3,0.3076199999999858,335.09238,335.09238,335.092386,150000000.0,D,,Ar II,Ar,II,Ar II,,150000000.0,live_nist
3,air,5H..9A,bulk,4,356.0,355.85628756208894,355.9,0.000172024,0.00017230622428197523,1,0.05079000000000633,355.95079,355.95079,355.95078,288000000.0,B,,Ar II,Ar,II,Ar II,,288000000.0,live_nist
3,air,5H..9A,bulk,4,356.0,355.85628756208894,355.9,0.000172024,0.00017230622428197523,2,0.20303000000001248,356.10303,356.10303,356.103016,400000000.0,D,,Ar II,Ar,II,Ar II,,400000000.0,live_nist
3,air,5H..9A,bulk,4,356.0,355.85628756208894,355.9,0.000172024,0.00017230622428197523,3,0.2096199999999726,355.69038,355.69038,355.690383,5000000.0,B,,Ar II,Ar,II,Ar II,,5000000.0,live_nist
4,air,5H..9A,bulk,4,314.0,313.83756821679293,313.8,0.0001597885,0.00016025612689107212,1,0.03350000000000364,313.8335,313.8335,313.8337,96400000.0,C,,O II,O,II,O II,,96400000.0,live_nist
4,air,5H..9A,bulk,4,314.0,313.83756821679293,313.8,0.0001597885,0.00016025612689107212,2,0.03710000000000946,313.7629,313.7629,313.763261,,,,Ar II,Ar,II,Ar II,,,live_nist
4,air,5H..9A,bulk,4,314.0,313.83756821679293,313.8,0.0001597885,0.00016025612689107212,3,0.1017400000000066,313.90174,313.90174,313.901722,52000000.0,C,,Ar II,Ar,II,Ar II,,52000000.0,live_nist
5,air,5H..9A,bulk,4,208.0,207.78081383374243,207.8,0.000157825675,0.00015834933979335636,1,0.10529999999999973,207.6947,,207.6947,5310000.0,C+,,N II,N,II,N II,,5310000.0,live_nist
